ORDER,FAMILY,GENUS,SPECIES,NUMB,SNST,STRAT,CNTAB,REL,MIN,QMIN,MAX,MIDPT-ELEV,QMAX,CP,RP,SUB,MICRO,NHAB,NZOO,HAB1,HAB2,HAB3,HAB4,HAB5,HAB6,HAB7,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,GAN,LAN,BSR,MPL,PAS,MAH,GCS,CDH,CHO,EPC,STP,NAN,CAN,SAN,NSA,TEP,AMN,AMS,CSA,ATL,PAM,PAT
PASSERIFORMES,PARULINAE,Myioborus,albifacies,3733,H,C?,UT,?,900,,2250,1350,,4,2,o,,1,1,F4,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,
PASSERIFORMES,PARULINAE,Myioborus,(brunniceps) castaneocapillus,3735.01,H,M/C,UT,F,1200,,2200,1000,,4,3,o,,2,1,F4,N3,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,
PASSERIFORMES,PARULINAE,Myioborus,cardonai,3737,H,M/C?,UT,?,1200,,1600,400,,4,2,o,,1,1,F4,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,
PASSERIFORMES,PARULINAE,Myioborus,pariae,3742,M,M/C,UT,U,800,,1200,400,,2,1,VNZ,,1,1,F4,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiodynastes,chrysocephalus,2672,M,M/C,UT,C,800,,2400,1600,,4,3,,,2,3,F4,F15,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,Y,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiodynastes,hemichrysus,2673,M,M/C,UT,F,700,,1850,1150,,4,3,CHR,,1,1,F4,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiodynastes,luteiventris,2673.01,L,M/C,HT,F,0,,1850,1850,,4,3,,,3,4,F7,F8,F1E,,,,,E,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiodynastes,(maculatus) maculatus,2674,L,M/C,LT,C,0,,1500,1500,,4,2,,,4,5,F1E,F15,F8,F3,,,,E,,Y,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,Y,,Y,Y,,,,
PASSERIFORMES,TYRANNIDAE,Myiodynastes,bairdi,2671,L,C,LT,C,0,,1200,1200,,4,3,MAN,,3,1,F7,F8,F15,,,,,,,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiodynastes,(maculatus) solitarius,2674.01,L,M/C,LT,F,0,,1100,1100,+,4,3,,,4,4,F1E,F7,F8,F15,,,,E,,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,,,,,,Y,Y,Y,
